FirstCategory,CountGrantsReviewed
Arb - Tool,13
Arb - Gaming,10
Arb - New Protocol,10
"Arb - Protocol,STIP",8
Arb - DAO Contribution,7
"Arb - Community Growth,Arb - Education",6
"Arb - Education,Arb - Community Growth",4
"Arb - Tool,STIP",4
"STIP,Arb - Protocol",3
Arb - Data & Analytics,2
"Arb - DAO Contribution,Arb - DAO Contribution",1
"Arb - Education,Arb - Education",1
"STIP,Arb - Tool",1
